StopId;Name;CoordinateX;CoordinateY;VehicleTypeId;NeighborStops
13477;Gazipaşa Mah Muhtarlık;27,1430383;38,2654367;1;13478:8
13478;Gazipaşa Mah Muhtarlık;27,143103;38,265391;1;13477:8
13479;Ondokuz Mayıs;27,142924;38,262487;1;13480:33
13480;Ondokuz Mayıs;27,14324;38,262394;1;13479:33
13481;Çınar;27,138952;38,263511;1;13482:47
13482;Çınar;27,138495;38,26363;1;13481:47
13487;Uzlar;27,13707;38,26393;1;13488:18
13488;Uzlar;27,136895;38,26395;1;13487:18
13489;Zeytin;27,13601;38,26045;1;13490:3
13490;Zeytin;27,13603;38,26047;1;13489:3
13491;Ege Kar;27,13366;38,25962;1;13492:7
13492;Ege Kar;27,13367;38,25969;1;13491:7
13495;Merkez Sokak;27,1103967;38,2474067;1;13496:64
13496;Merkez Sokak;27,111009;38,247576;1;13495:64
13499;Akçaköy Yol Ayrımı;27,0936233;38,2419117;1;13500:12
13500;Akçaköy Yol Ayrımı;27,09369;38,241818;1;13499:12
13501;Çatalca Yol Ayrımı;27,0851883;38,243455;1;13502:115
13502;Çatalca Yol Ayrımı;27,086342;38,243427;1;13501:115
13503;Çatalca Seralar;27,07254;38,2550333;1;13504:28
13504;Çatalca Seralar;27,07265;38,254774;1;13503:28
13505;Çatalca;27,0700217;38,2571233;1;13506:21
13506;Çatalca;27,070018;38,256912;1;13505:21
13507;Çatalca Köprü;27,067181;38,26011;1;13508:19
13508;Çatalca Köprü;27,067007;38,260181;1;13507:19
13509;Tırazlı Yol Ayrımı;26,9926683;38,267925;1;13510:33
13510;Tırazlı Yol Ayrımı;26,992452;38,268171;1;13509:33
13511;Efem Çukuru Hal;26,97252;38,278575;1;13512:39
13512;Efem Çukuru Hal;26,972145;38,278673;1;13511:39
13513;Efem Çukuru İÖO;26,970855;38,2800533;1;13514:15.13515:231
13514;Efem Çukuru İÖO;26,970721;38,280114;1;13513:15.13515:217
13515;Efem Çukuru Son durak;26,9686044;38,2805831;1;13513:231.13514:217
13516;Çatalca Meydan;27,069832;38,25983;1;13517:53
13517;Çatalca Meydan;27,069491;38,260235;1;13516:53
13539;Doğanbey Payamlı Son Durak;26,867574;38,085841;1;NULL
13540;Ömür Beldesi;26,878162;38,060773;1;13543:49
13542;Doğanbey-Payamlı;26,8604383;38,0855817;1;13545:12
13543;Ömür Beldesi;26,878519;38,060437;1;13540:49
13544;Haritacılar Sitesi;26,837727;38,130675;1;13547:20
13545;Doğanbey-Payamlı;26,8605517;38,0856317;1;13542:12
13546;Güneşlikent;26,835095;38,1404417;1;13549:98
13547;Haritacılar Sitesi;26,837768;38,130481;1;13544:20
13548;Kemerkaya Evleri;26,832656;38,154074;1;13551:12
13549;Güneşlikent;26,8343129;38,1410372;1;13546:98
13550;Yenikent;26,829835;38,158771;1;13553:65
13551;Kemerkaya Evleri;26,832769;38,1541;1;13548:12
13552;Akarca Cami;26,826979;38,162728;1;13555:64
13553;Yenikent;26,8294933;38,1593217;1;13550:65
13554;Akarca;26,825829;38,166144;1;13557:62
13555;Akarca Cami;26,827442;38,162281;1;13552:64
13556;Hıdırlık;26,829223;38,175213;1;13559:12
13557;Akarca;26,825965;38,166754;1;13554:62
13558;Tepeci Caddesi;26,833669;38,181245;1;13561:42
13559;Hıdırlık;26,829256;38,175099;1;13556:12
13560;Kuşadası Caddesi;26,835224;38,187369;1;13563:30
13561;Tepecik Caddesi;26,833541;38,18085;1;13558:42
13562;İzmir Caddesi;26,834325;38,191448;1;13565:38
13563;Kuşadası Caddesi;26,8353615;38,1876318;1;13560:30
13564;Sığacık Yol Ayrımı;26,83412;38,1947383;1;13567:60
13565;İzmir Caddesi;26,834486;38,191101;1;13562:38
13567;Sığacık Yol Ayrımı;26,8343999;38,1942021;1;13564:60
13584;Plastik Fabrikası;27,100644;38,240988;1;13585:8
13585;Plastik Fabrikası;27,1006033;38,2410517;1;13584:8
13588;Üzümlü;27,061317;38,231247;1;13589:49
13589;Üzümlü;27,06087;38,23104;1;13588:49
13590;Bahçecik;27,064937;38,233321;1;13591:86
13591;Bahçecik;27,0657495;38,2335893;1;13590:86
13592;Orkide;27,058667;38,228517;1;13593:9
13593;Orkide;27,058575;38,228495;1;13592:9
13594;Yeniköy Giriş;27,0467983;38,2186133;1;13595:28
13595;Yeniköy Giriş;27,046595;38,2184183;1;13594:28
13596;Yeniköy İÖO;27,04353;38,215535;1;13597:22
13597;Yeniköy İÖO;27,0436767;38,215705;1;13596:22
13598;Menekşe;27,039288;38,211421;1;13599:24
13599;Menekşe;27,0394667;38,2115867;1;13598:24
13600;Sümbül;27,023734;38,203056;1;13601:16
13601;Sümbül;27,02367;38,2032033;1;13600:16
13602;Kuyucak;26,993527;38,191586;1;13603:97
13603;Kuyucak;26,9926;38,191298;1;13602:97
13604;Karanfil;26,985811;38,191483;1;13605:20
13605;Karanfil;26,9858117;38,191685;1;13604:20
13606;Lale;26,980738;38,191349;1;13607:134
13607;Lale;26,982077;38,191339;1;13606:134
13608;Beyler Köyü Yol Ayrımı;26,971362;38,18856;1;13609:60
13609;Beyler Köyü Yol Ayrımı;26,9713;38,1879667;1;13608:60
13610;Leylak;26,968635;38,184537;1;13611:76
13611;Leylak;26,9690967;38,185145;1;13610:76
13612;Nergis;26,965284;38,181049;1;13613:68
13613;Nergis;26,964645;38,1808067;1;13612:68
13614;Firdem;26,962185;38,177964;1;13615:87
13615;Firdem;26,9618917;38,17715;1;13614:87
13616;Orhanlı İÖO;26,955085;38,1690417;1;13617:14
